match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504539,2026-05-14 21:00:00,比利时杯,圣基莱斯联,安德列治,54.89%,23.47%,21.64%,1.722,1.000,0.8672,0.7980,1.0713,"1, 2, 3, 4",2026-05-14 22:00:54
504535,2026-05-14 21:30:00,瑞典杯,米赞比,哈马比,35.21%,25.10%,39.70%,1.353,1.450,1.3379,0.7529,0.7542,"1, 2, 3, 4",2026-05-14 22:00:59
505091,2026-05-14 22:00:00,女子德国杯,沃尔夫斯堡女足,拜仁慕尼黑女足,15.32%,18.10%,66.58%,1.039,2.300,0.5898,0.7239,0.9988,"1, 2, 3, 4, 5",2026-05-14 22:01:04
503872,2026-05-14 23:55:00,沙地阿拉伯职业联赛,艾法特,艾纳积马,63.12%,19.36%,17.51%,2.171,1.078,0.9216,0.8520,0.8021,"1, 2, 3, 4, 5",2026-05-14 22:01:09
