match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
503872,2026-05-14 23:55:00,沙地阿拉伯职业联赛,艾法特,艾纳积马,62.98%,19.44%,17.58%,2.171,1.082,0.9447,0.8359,0.7559,"1, 2, 3, 4, 5",2026-05-15 00:01:02
504136,2026-05-15 01:00:00,西班牙甲组联赛,华伦西亚,华历简奴,42.10%,25.09%,32.80%,1.490,1.298,0.9094,0.7528,1.0432,"1, 2, 3, 4",2026-05-15 00:01:07
504137,2026-05-15 02:00:00,西班牙甲组联赛,杰罗纳,皇家苏斯达,45.76%,23.87%,30.37%,1.648,1.306,0.8878,0.8355,0.9779,"1, 2, 3, 4",2026-05-15 00:01:11
503873,2026-05-15 02:00:00,沙地阿拉伯职业联赛,伊蒂法克,伊蒂哈德,27.14%,22.99%,49.87%,1.269,1.776,0.7979,0.8622,0.9674,"1, 2, 3, 4, 5",2026-05-15 00:01:16
503874,2026-05-15 02:00:00,沙地阿拉伯职业联赛,艾卡迪沙,艾哈森,75.88%,14.09%,10.03%,2.678,0.932,0.8878,0.9018,0.9025,"2, 3, 4, 5",2026-05-15 00:01:21
