match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505125,2026-05-12 23:00:00,芬兰杯,施拿祖基,PEPO拉宾兰塔,94.95%,3.87%,1.18%,3.607,0.343,0.9590,0.3370,0.2006,"2, 3, 4, 5",2026-05-13 00:10:59
505089,2026-05-12 23:59:00,芬兰杯,PK35赫尔辛基,古比斯,7.71%,13.40%,78.89%,0.715,2.590,0.4088,0.5627,1.0571,"1, 2, 3, 4, 5",2026-05-13 00:11:03
505294,2026-05-12 23:59:00,女子挪威杯,维京女足,侯格辛特女足,12.87%,17.34%,69.79%,0.909,2.313,0.6151,0.7630,0.9422,"1, 2, 3, 4, 5",2026-05-13 00:11:08
502574,2026-05-13 00:20:00,沙地阿拉伯职业联赛,艾科路德,艾科多,58.08%,21.50%,20.42%,1.952,1.090,0.8596,0.8599,1.0210,"1, 2, 3, 4, 5",2026-05-13 00:11:13
504129,2026-05-13 01:00:00,西班牙甲组联赛,切尔达,利云特,55.66%,22.53%,21.81%,1.823,1.072,1.0465,0.7547,0.7851,"1, 2, 3, 4",2026-05-13 00:11:17
502773,2026-05-13 01:00:00,瑞典女子超级联赛,佐加顿斯女足,哈马比女足,15.64%,18.29%,66.07%,1.039,2.272,0.8290,0.7188,0.8919,"1, 2, 3, 4, 5",2026-05-13 00:11:22
504130,2026-05-13 02:00:00,西班牙甲组联赛,贝迪斯,艾尔切,58.33%,21.40%,20.27%,1.945,1.074,0.9041,0.8410,0.9529,"1, 2, 3, 4, 5",2026-05-13 00:11:27
502573,2026-05-13 02:00:00,沙地阿拉伯职业联赛,艾纳斯,希拉尔,40.40%,22.66%,36.94%,1.722,1.646,0.8888,0.8271,0.9420,"1, 2, 3, 4, 5",2026-05-13 00:11:31
