match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505350,2026-05-15 22:10:00,阿联酋职业联赛,阿积曼,阿尔纳沙,35.37%,24.15%,40.48%,1.444,1.560,0.8595,0.8211,0.8501,"1, 2, 3, 4, 5",2026-05-15 22:00:59
505351,2026-05-15 22:10:00,阿联酋职业联赛,沙迦,豪尔费坎,51.69%,22.28%,26.02%,1.881,1.293,1.0339,0.7687,0.6766,"1, 2, 3, 4, 5",2026-05-15 22:01:03
504030,2026-05-15 23:59:00,挪威女子超级联赛,侯格辛特女足,白兰恩女足,5.28%,10.45%,84.27%,0.634,2.859,0.6332,0.7422,0.8848,"2, 3, 4, 5",2026-05-15 22:01:08
504031,2026-05-15 23:59:00,挪威女子超级联赛,阿利辛特女足,汉福斯女足,64.72%,19.95%,15.32%,2.029,0.886,0.8285,0.8280,0.9501,"1, 2, 3, 4, 5",2026-05-15 22:01:13
504032,2026-05-15 23:59:00,挪威女子超级联赛,史达比克女足,洛辛堡女足,22.29%,22.65%,55.07%,1.093,1.827,0.8468,0.7814,0.8811,"1, 2, 3, 4",2026-05-15 22:01:18
504033,2026-05-15 23:59:00,挪威女子超级联赛,利恩女足,洛亚女足,61.74%,21.04%,17.22%,1.946,0.934,0.8952,0.8037,0.7491,"1, 2, 3, 4",2026-05-15 22:01:22
504034,2026-05-15 23:59:00,挪威女子超级联赛,波杜基林特女足,利尼史特朗女足,17.20%,19.05%,63.75%,1.072,2.195,0.8255,0.7811,0.8798,"1, 2, 3, 4, 5",2026-05-15 22:01:27
504035,2026-05-15 23:59:00,挪威女子超级联赛,华拿伦加女足,莫迪女足,82.93%,10.84%,6.22%,2.967,0.782,0.8708,0.7807,0.6847,"2, 3, 4, 5, 6",2026-05-15 22:01:32
