match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504356,2026-05-11 22:10:00,阿联酋职业联赛,阿尔纳沙,伊蒂哈德卡尔巴,53.82%,22.78%,23.40%,1.810,1.132,0.8611,0.7860,0.8892,"1, 2, 3, 4, 5",2026-05-11 22:20:22
503128,2026-05-11 22:30:00,俄罗斯超级联赛,莫斯科斯巴达,卡山鲁宾,61.47%,22.36%,16.17%,1.798,0.805,0.9036,0.8609,0.8730,"1, 2, 3, 4",2026-05-11 22:20:27
502679,2026-05-11 23:59:00,德国女子甲组联赛,RB莱比锡女足,利华古逊女足,20.97%,21.06%,57.96%,1.135,1.991,0.8389,0.7688,0.8869,"1, 2, 3, 4, 5",2026-05-11 22:20:31
502772,2026-05-11 23:59:00,瑞典女子超级联赛,Malmo W,赫根女足,30.10%,24.25%,45.65%,1.281,1.625,0.9332,0.7298,0.8765,"1, 2, 3, 4",2026-05-11 22:20:36
