match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504030,2026-05-15 23:59:00,挪威女子超级联赛,侯格辛特女足,白兰恩女足,5.31%,10.49%,84.19%,0.633,2.856,0.6377,0.7448,0.8840,"2, 3, 4, 5",2026-05-16 00:01:00
504031,2026-05-15 23:59:00,挪威女子超级联赛,阿利辛特女足,汉福斯女足,64.77%,19.92%,15.31%,2.030,0.885,0.8291,0.8267,0.9491,"1, 2, 3, 4, 5",2026-05-16 00:01:05
504032,2026-05-15 23:59:00,挪威女子超级联赛,史达比克女足,洛辛堡女足,22.18%,22.75%,55.07%,1.090,1.826,0.8429,0.7848,0.8811,"1, 2, 3, 4",2026-05-16 00:01:09
504033,2026-05-15 23:59:00,挪威女子超级联赛,利恩女足,洛亚女足,61.59%,21.20%,17.20%,1.943,0.933,0.8931,0.8100,0.7484,"1, 2, 3, 4",2026-05-16 00:01:14
504034,2026-05-15 23:59:00,挪威女子超级联赛,波杜基林特女足,利尼史特朗女足,17.05%,19.13%,63.81%,1.071,2.197,0.8185,0.7844,0.8806,"1, 2, 3, 4, 5",2026-05-16 00:01:19
504035,2026-05-15 23:59:00,挪威女子超级联赛,华拿伦加女足,莫迪女足,82.97%,10.77%,6.26%,2.969,0.782,0.8712,0.7757,0.6884,"2, 3, 4, 5, 6",2026-05-16 00:01:24
503875,2026-05-16 00:15:00,沙地阿拉伯职业联赛,达马克,艾费哈,48.17%,27.03%,24.80%,1.405,0.931,0.9057,0.8919,0.8531,"0, 1, 2, 3, 4",2026-05-16 00:01:28
503978,2026-05-16 00:30:00,瑞典女子超级联赛,洛辛加特女足,基斯迪史达斯女足,37.65%,24.52%,37.83%,1.456,1.461,0.9299,0.8117,0.8398,"1, 2, 3, 4",2026-05-16 00:01:33
505352,2026-05-16 00:45:00,阿联酋职业联赛,艾华斯尔,伊蒂哈德卡尔巴,68.25%,17.70%,14.06%,2.301,0.968,0.8872,0.7786,0.7871,"1, 2, 3, 4, 5",2026-05-16 00:01:38
503876,2026-05-16 02:00:00,沙地阿拉伯职业联赛,艾塔亚文,艾利雅德,51.26%,24.14%,24.60%,1.671,1.088,0.7689,0.9897,1.1316,"1, 2, 3, 4",2026-05-16 00:01:43
