match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505184,2026-05-14 05:45:00,阿根廷甲组联赛,罗沙里奥中央,竞赛会,41.52%,28.56%,29.91%,1.240,1.002,0.8761,0.8655,0.9333,"0, 1, 2, 3, 4",2026-05-14 06:01:02
504388,2026-05-14 06:00:00,巴西杯,青年队,圣保罗,24.16%,26.71%,49.13%,0.923,1.433,0.7393,0.8147,1.0513,"1, 2, 3, 4",2026-05-14 06:01:07
504490,2026-05-14 06:00:00,巴西杯,华斯高,彼辛度,74.08%,17.19%,8.73%,2.121,0.579,1.0001,0.7391,0.5589,"1, 2, 3, 4",2026-05-14 06:01:12
504492,2026-05-14 06:30:00,巴西杯,哥列迪巴,山度士,36.34%,27.30%,36.37%,1.203,1.204,1.0900,0.7234,0.8728,"0, 1, 2, 3, 4",2026-05-14 06:01:16
504204,2026-05-14 07:15:00,美国职业大联盟联赛,夏洛特FC,纽约城,42.91%,24.35%,32.74%,1.578,1.352,0.9870,0.8328,0.8348,"1, 2, 3, 4",2026-05-14 06:01:21
504205,2026-05-14 07:30:00,美国职业大联盟联赛,FC辛辛那提,国际迈亚密,33.26%,21.39%,45.35%,1.694,1.984,0.8813,0.8408,0.9206,"2, 3, 4, 5",2026-05-14 06:01:26
504206,2026-05-14 07:30:00,美国职业大联盟联赛,华盛顿联队,芝加哥火焰,36.62%,24.80%,38.58%,1.421,1.462,0.9081,0.8607,0.8873,"1, 2, 3, 4",2026-05-14 06:01:30
504207,2026-05-14 07:30:00,美国职业大联盟联赛,CF蒙特利尔,波特兰伐木者,49.68%,22.45%,27.87%,1.839,1.339,0.9837,0.8260,0.8083,"1, 2, 3, 4, 5",2026-05-14 06:01:35
504208,2026-05-14 07:30:00,美国职业大联盟联赛,新英伦革命,纳舒维尔SC,34.78%,25.24%,39.98%,1.333,1.444,0.8974,0.8605,0.8996,"1, 2, 3, 4",2026-05-14 06:01:39
504209,2026-05-14 07:30:00,美国职业大联盟联赛,纽约红牛,哥伦布机员,36.09%,23.06%,40.86%,1.576,1.683,0.9636,0.8415,0.8498,"1, 2, 3, 4, 5",2026-05-14 06:01:44
504210,2026-05-14 07:30:00,美国职业大联盟联赛,奥兰多城,费城联,33.15%,24.07%,42.78%,1.389,1.597,0.8453,0.8544,0.9498,"1, 2, 3, 4, 5",2026-05-14 06:01:49
504493,2026-05-14 07:30:00,巴西杯,米拉索,巴拉干天奴,36.38%,27.09%,36.53%,1.213,1.216,0.9896,0.8127,0.8584,"0, 1, 2, 3, 4",2026-05-14 06:01:53
