match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505449,2026-05-16 06:55:00,乌拉圭甲组联赛,蒙特维多城托基,蒙特维多国民队,30.30%,24.87%,44.83%,1.235,1.545,0.8635,0.7661,0.8921,"1, 2, 3, 4",2026-05-16 08:00:56
504262,2026-05-16 08:00:00,智利甲组联赛,柏利斯天奴,拉沙连拿,48.73%,25.66%,25.61%,1.508,1.024,0.9454,0.8263,0.8579,"1, 2, 3, 4",2026-05-16 08:01:01
504263,2026-05-16 08:00:00,智利甲组联赛,哥甘保联,奥达斯,52.68%,24.98%,22.34%,1.578,0.936,0.8956,0.8368,0.9337,"1, 2, 3, 4",2026-05-16 08:01:06
504234,2026-05-16 08:00:00,美国国家女子联赛,肯萨斯城流动女足,侯斯顿冲锋女足,64.76%,19.79%,15.45%,2.064,0.907,0.8742,0.7778,0.8266,"1, 2, 3, 4, 5",2026-05-16 08:01:10
504235,2026-05-16 10:00:00,美国国家女子联赛,圣地牙哥海浪女足,华盛顿精神女足,33.11%,25.91%,40.98%,1.241,1.404,0.8676,0.7772,0.8852,"1, 2, 3, 4",2026-05-16 08:01:15
504236,2026-05-16 10:00:00,美国国家女子联赛,西雅图王朝女足,葛咸FC女足,19.91%,25.20%,54.89%,0.835,1.562,0.5913,0.8063,1.0430,"1, 2, 3, 4",2026-05-16 08:01:20
504237,2026-05-16 10:00:00,美国国家女子联赛,海湾FC女足,波士顿传承女足,34.59%,26.73%,38.68%,1.220,1.294,0.8821,0.8286,0.8354,"1, 2, 3, 4",2026-05-16 08:01:24
