match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
503126,2026-05-11 18:00:00,俄罗斯超级联赛,阿克伦托格里蒂,罗斯杜夫,34.01%,26.05%,39.94%,1.253,1.376,0.9691,0.8259,0.8787,"1, 2, 3, 4",2026-05-11 19:41:11
503127,2026-05-11 20:15:00,俄罗斯超级联赛,下诺夫哥罗德,莫斯科中央陆军,27.15%,24.62%,48.24%,1.141,1.590,0.7872,0.8247,1.0033,"1, 2, 3, 4",2026-05-11 19:41:20
504356,2026-05-11 22:10:00,阿联酋职业联赛,阿尔纳沙,伊蒂哈德卡尔巴,53.84%,22.70%,23.47%,1.807,1.131,0.9367,0.7831,0.7392,"1, 2, 3, 4, 5",2026-05-11 19:41:29
503128,2026-05-11 22:30:00,俄罗斯超级联赛,莫斯科斯巴达,卡山鲁宾,61.54%,22.30%,16.16%,1.799,0.803,0.9046,0.8584,0.8729,"1, 2, 3, 4",2026-05-11 19:41:39
