match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504136,2026-05-15 01:00:00,西班牙甲组联赛,华伦西亚,华历简奴,42.11%,25.01%,32.88%,1.494,1.300,0.9095,0.7503,1.0457,"1, 2, 3, 4",2026-05-15 02:01:00
504137,2026-05-15 02:00:00,西班牙甲组联赛,杰罗纳,皇家苏斯达,45.60%,23.92%,30.48%,1.649,1.311,0.9029,0.7895,1.0057,"1, 2, 3, 4",2026-05-15 02:01:05
503873,2026-05-15 02:00:00,沙地阿拉伯职业联赛,伊蒂法克,伊蒂哈德,27.01%,22.98%,50.01%,1.268,1.778,0.9320,0.7124,0.9801,"1, 2, 3, 4, 5",2026-05-15 02:01:10
503874,2026-05-15 02:00:00,沙地阿拉伯职业联赛,艾卡迪沙,艾哈森,75.92%,14.03%,10.06%,2.682,0.930,0.8882,0.8977,0.9051,"2, 3, 4, 5",2026-05-15 02:01:14
504419,2026-05-15 03:00:00,英格兰甲组联赛,巴拉福特,保顿,39.81%,24.65%,35.54%,1.485,1.398,0.9752,0.7518,0.9099,"1, 2, 3, 4",2026-05-15 02:01:19
504138,2026-05-15 03:30:00,西班牙甲组联赛,皇家马德里,奥维多,77.52%,13.49%,8.99%,2.674,0.848,0.9147,0.8499,0.8814,"2, 3, 4, 5",2026-05-15 02:01:24
