match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505090,2026-05-13 23:00:00,芬兰杯,拉迪,MP米凯利,79.57%,12.38%,8.05%,2.809,0.844,0.9071,0.6810,0.6841,"2, 3, 4, 5",2026-05-14 00:01:33
505151,2026-05-13 23:00:00,芬兰杯,VPS华沙,AIFK杜古,94.09%,4.13%,1.78%,3.795,0.536,0.9503,0.3842,0.2664,"3, 4, 5, 6",2026-05-14 00:01:38
505152,2026-05-13 23:00:00,芬兰杯,TPS杜古,HJS学院,88.38%,7.82%,3.80%,3.224,0.637,0.9810,0.5005,0.3418,"2, 3, 4, 5, 6",2026-05-14 00:01:42
505153,2026-05-13 23:00:00,芬兰杯,伊洛特,伊斯韦斯,4.26%,8.19%,87.54%,0.679,3.207,0.6396,0.6061,0.9017,"2, 3, 4, 5, 6",2026-05-14 00:01:46
505126,2026-05-13 23:30:00,芬兰杯,路云尼米,赫尔辛基,3.78%,7.82%,88.40%,0.627,3.218,0.4156,0.5629,0.9282,"2, 3, 4, 5, 6",2026-05-14 00:01:51
505154,2026-05-13 23:30:00,芬兰杯,马利汉姆,普尤,89.46%,7.12%,3.43%,3.331,0.627,0.9662,0.4981,0.3185,"2, 3, 4, 5, 6",2026-05-14 00:01:55
505155,2026-05-13 23:30:00,芬兰杯,万塔,查路,19.17%,20.13%,60.70%,1.105,2.082,0.6613,0.6844,1.0198,"1, 2, 3, 4, 5",2026-05-14 00:02:00
505156,2026-05-14 00:30:00,芬兰杯,古比斯学院,汉卡,33.39%,21.68%,44.93%,1.644,1.915,0.8647,0.7438,0.8986,"2, 3, 4, 5",2026-05-14 00:02:04
504132,2026-05-14 01:00:00,西班牙甲组联赛,爱斯宾奴,毕尔包,37.12%,25.63%,37.25%,1.324,1.328,0.9355,0.8356,0.9125,"1, 2, 3, 4",2026-05-14 00:02:09
504133,2026-05-14 01:00:00,西班牙甲组联赛,维拉利尔,西维尔,47.23%,24.65%,28.13%,1.594,1.182,0.9445,0.8010,0.9281,"1, 2, 3, 4",2026-05-14 00:02:14
504474,2026-05-14 01:00:00,法国甲组联赛,比斯特,史特拉斯堡,36.17%,24.63%,39.21%,1.423,1.484,0.9295,0.8373,0.9135,"1, 2, 3, 4",2026-05-14 00:02:18
505162,2026-05-14 02:00:00,荷兰乙组联赛,阿梅尔城,威廉二世,39.29%,23.78%,36.94%,1.559,1.506,0.8564,0.8322,0.9678,"1, 2, 3, 4, 5",2026-05-14 00:02:23
504081,2026-05-14 02:00:00,英格兰女子超级联赛,阿仙奴女足,爱华顿女足,87.62%,8.40%,3.98%,3.106,0.605,0.9463,0.5377,0.3978,"2, 3, 4, 5",2026-05-14 00:02:27
