match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504357,2026-05-12 00:45:00,阿联酋职业联赛,艾查捷拉,艾华斯尔,38.19%,23.82%,37.99%,1.538,1.535,0.8975,0.8147,0.8281,"1, 2, 3, 4, 5",2026-05-12 01:58:13
504358,2026-05-12 00:45:00,阿联酋职业联赛,豪尔费坎,阿尔华达,20.62%,21.35%,58.03%,1.104,1.965,0.6392,0.7581,1.0096,"1, 2, 3, 4, 5",2026-05-12 01:58:18
502576,2026-05-12 00:50:00,沙地阿拉伯职业联赛,尼奥姆,艾沙比,40.18%,24.31%,35.51%,1.534,1.432,0.8357,0.8874,0.9587,"1, 2, 3, 4",2026-05-12 01:58:22
503129,2026-05-12 01:00:00,俄罗斯超级联赛,莫斯科戴拿模,克拉斯诺达尔,25.61%,22.25%,52.14%,1.264,1.865,0.7606,0.8011,1.0219,"1, 2, 3, 4, 5",2026-05-12 01:58:26
504156,2026-05-12 01:00:00,西班牙女子甲组联赛,马德里CFF女足,西维尔女足,37.71%,24.43%,37.86%,1.458,1.462,0.8485,0.7597,0.9162,"1, 2, 3, 4",2026-05-12 01:58:31
502743,2026-05-12 01:00:00,瑞典超级联赛,天狼星,奥基迪,75.66%,14.21%,10.14%,2.659,0.928,0.8927,0.9236,0.8413,"2, 3, 4, 5",2026-05-12 01:58:35
502575,2026-05-12 02:00:00,沙地阿拉伯职业联赛,艾塔亚文,吉达艾阿里,22.41%,22.78%,54.81%,1.085,1.804,0.6724,0.7516,1.1182,"1, 2, 3, 4",2026-05-12 01:58:39
504149,2026-05-12 02:30:00,西班牙乙组联赛,侯尔斯卡,皇家苏斯达B队,50.88%,25.21%,23.91%,1.550,0.983,1.1091,0.8195,0.6695,"1, 2, 3, 4",2026-05-12 01:58:44
504097,2026-05-12 02:45:00,意大利甲组联赛,拿玻里,博洛尼亚,60.67%,22.19%,17.15%,1.822,0.866,0.8796,0.8763,0.9947,"1, 2, 3, 4",2026-05-12 01:58:48
502942,2026-05-12 03:00:00,英格兰超级联赛,热刺,列斯联,47.42%,23.48%,29.10%,1.691,1.287,0.8251,0.8336,1.1493,"1, 2, 3, 4, 5",2026-05-12 01:58:52
504128,2026-05-12 03:00:00,西班牙甲组联赛,华历简奴,杰罗纳,43.11%,24.38%,32.50%,1.581,1.342,0.9916,0.8095,0.8613,"1, 2, 3, 4",2026-05-12 01:58:56
504413,2026-05-12 03:00:00,英格兰冠军联赛,米禾尔,侯城,55.97%,23.89%,20.14%,1.685,0.917,0.9235,0.8457,0.8580,"1, 2, 3, 4",2026-05-12 01:59:01
505006,2026-05-12 03:15:00,葡萄牙超级联赛,宾菲加,布拉加,67.97%,18.46%,13.57%,2.180,0.880,0.9516,0.7937,0.7598,"1, 2, 3, 4, 5",2026-05-12 01:59:05
505007,2026-05-12 03:15:00,葡萄牙超级联赛,艾马多拉,法马利卡奥,27.79%,24.55%,47.67%,1.169,1.596,0.7975,0.8297,0.9915,"1, 2, 3, 4",2026-05-12 01:59:09
505008,2026-05-12 03:15:00,葡萄牙超级联赛,基维辛迪,阿洛卡,55.75%,22.79%,21.46%,1.806,1.045,0.8697,0.8660,0.9766,"1, 2, 3, 4",2026-05-12 01:59:14
505009,2026-05-12 03:15:00,葡萄牙超级联赛,里奥阿维,士砵亭,7.91%,12.97%,79.12%,0.782,2.701,0.7153,0.7730,0.9336,"1, 2, 3, 4, 5",2026-05-12 01:59:18
505010,2026-05-12 03:15:00,葡萄牙超级联赛,辛达卡拉,国民队,44.06%,26.34%,29.60%,1.411,1.110,0.9782,0.8165,0.8495,"1, 2, 3, 4",2026-05-12 01:59:22
505011,2026-05-12 03:15:00,葡萄牙超级联赛,唐迪拉,摩里伦斯,46.67%,25.44%,27.88%,1.506,1.110,0.8868,0.8396,0.9481,"1, 2, 3, 4",2026-05-12 01:59:26
505012,2026-05-12 03:15:00,葡萄牙超级联赛,甘马雷斯,卡萨比亚,54.11%,23.73%,22.16%,1.693,1.002,0.8982,0.8543,0.9085,"1, 2, 3, 4",2026-05-12 01:59:31
504961,2026-05-12 03:55:00,乌拉圭甲组联赛,马尔多纳多,波士顿河,50.69%,25.44%,23.87%,1.538,0.976,0.8618,0.8268,0.8544,"1, 2, 3, 4",2026-05-12 01:59:35
