match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504211,2026-05-14 08:30:00,美国职业大联盟联赛,FC达拉斯,温哥华白帽,29.83%,22.98%,47.19%,1.380,1.769,0.9546,0.7927,0.9061,"1, 2, 3, 4, 5",2026-05-14 09:01:09
504212,2026-05-14 08:30:00,美国职业大联盟联赛,肯萨斯体育会,洛杉矶银河,28.24%,21.66%,50.10%,1.446,1.961,0.9828,0.8274,0.8717,"1, 2, 3, 4, 5",2026-05-14 09:01:14
504213,2026-05-14 08:30:00,美国职业大联盟联赛,明尼苏达联,科罗拉多急流,54.61%,22.19%,23.20%,1.884,1.171,0.9011,0.8276,0.9281,"1, 2, 3, 4, 5",2026-05-14 09:01:19
504214,2026-05-14 08:30:00,美国职业大联盟联赛,圣路易斯城SC,洛杉矶FC,35.35%,24.08%,40.57%,1.447,1.567,0.8660,0.8188,0.9534,"1, 2, 3, 4, 5",2026-05-14 09:01:23
504496,2026-05-14 08:30:00,巴西杯,施亚拉,明尼路,36.55%,26.76%,36.68%,1.239,1.241,0.8773,0.7762,1.0198,"1, 2, 3, 4",2026-05-14 09:01:28
504498,2026-05-14 08:30:00,巴西杯,查古伊佩斯,彭美拉斯,8.70%,16.34%,74.96%,0.627,2.239,0.8088,0.8335,0.9145,"1, 2, 3, 4, 5",2026-05-14 09:01:33
504500,2026-05-14 08:30:00,巴西杯,雷莫,巴希亚,30.38%,26.63%,42.99%,1.113,1.376,0.8202,0.8787,0.9459,"1, 2, 3, 4",2026-05-14 09:01:37
505183,2026-05-14 08:30:00,阿根廷甲组联赛,河床,甘拿斯亚,62.04%,22.88%,15.08%,1.724,0.720,0.8997,0.8693,0.8746,"1, 2, 3, 4",2026-05-14 09:01:42
504215,2026-05-14 09:30:00,美国职业大联盟联赛,皇家盐湖城,侯斯顿戴拿模,52.36%,21.99%,25.65%,1.921,1.308,0.8482,0.8027,1.1029,"1, 2, 3, 4, 5",2026-05-14 09:01:47
504216,2026-05-14 09:30:00,美国职业大联盟联赛,圣地牙哥FC,奥斯汀FC,58.03%,20.60%,21.37%,2.074,1.211,0.9343,0.8345,0.8397,"1, 2, 3, 4, 5",2026-05-14 09:01:51
504217,2026-05-14 09:30:00,美国职业大联盟联赛,西雅图海湾者,圣荷西地震,48.39%,23.13%,28.48%,1.769,1.320,0.8710,0.8327,0.9684,"1, 2, 3, 4, 5",2026-05-14 09:01:56
505180,2026-05-14 10:00:00,墨西哥超级联赛,蓝十字,哥达拿查拉,44.88%,25.45%,29.67%,1.487,1.170,0.9200,0.8143,0.9198,"1, 2, 3, 4",2026-05-14 09:02:01
