match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504502,2026-05-15 05:00:00,巴西杯,查比高恩斯,保地花高,29.04%,27.63%,43.34%,1.033,1.320,0.7840,0.8702,0.9967,"1, 2, 3, 4",2026-05-15 05:00:55
504503,2026-05-15 06:00:00,巴西杯,戈亚尼恩斯,帕拉尼恩斯,31.33%,27.66%,41.01%,1.079,1.282,0.8709,0.8576,0.9227,"1, 2, 3, 4",2026-05-15 05:01:00
504505,2026-05-15 06:00:00,巴西杯,康菲安卡,甘美奥,16.60%,24.26%,59.14%,0.735,1.634,0.5944,0.7762,1.1118,"1, 2, 3, 4",2026-05-15 05:01:04
504507,2026-05-15 06:30:00,巴西杯,哥连泰斯,巴拉,78.77%,15.11%,6.12%,2.225,0.455,1.0240,0.6798,0.4655,"1, 2, 3, 4",2026-05-15 05:01:09
504509,2026-05-15 07:00:00,巴西杯,CRB,科泰尼沙,40.57%,28.28%,31.15%,1.238,1.044,0.9331,0.8626,0.8566,"0, 1, 2, 3, 4",2026-05-15 05:01:14
