match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
497434,2026-05-13 17:00:00,日本J2/J3百年构想联赛,鸟取飞翔,滋贺湖王,42.05%,28.07%,29.88%,1.272,1.024,0.9671,0.8646,0.8217,"0, 1, 2, 3, 4",2026-05-13 18:01:20
504463,2026-05-13 18:00:00,日本J1百年构想联赛,町田泽维亚,东京绿茵,51.43%,27.65%,20.92%,1.381,0.776,0.9978,0.8378,0.7948,"0, 1, 2, 3, 4",2026-05-13 18:01:24
504464,2026-05-13 18:00:00,日本J1百年构想联赛,神户胜利船,京都不死鸟,55.62%,23.93%,20.45%,1.681,0.922,1.0345,0.7897,0.7669,"1, 2, 3, 4",2026-05-13 18:01:29
503754,2026-05-13 18:30:00,南韩职业联赛,蔚山HD,济州SK,49.81%,25.62%,24.57%,1.506,0.982,0.9764,0.8325,0.7986,"1, 2, 3, 4",2026-05-13 18:01:34
503755,2026-05-13 18:30:00,南韩职业联赛,FC安养,金泉尚武,38.45%,26.28%,35.27%,1.332,1.273,0.8074,0.8410,1.0581,"1, 2, 3, 4",2026-05-13 18:01:39
503756,2026-05-13 18:30:00,南韩职业联赛,FC富川,全北汽车,21.51%,25.46%,53.03%,0.890,1.548,0.7743,0.8403,0.9757,"1, 2, 3, 4",2026-05-13 18:01:44
