match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504356,2026-05-11 22:10:00,阿联酋职业联赛,阿尔纳沙,伊蒂哈德卡尔巴,53.83%,22.81%,23.37%,1.811,1.132,0.8612,0.7868,0.8879,"1, 2, 3, 4, 5",2026-05-11 22:46:30
503128,2026-05-11 22:30:00,俄罗斯超级联赛,莫斯科斯巴达,卡山鲁宾,61.52%,22.34%,16.14%,1.800,0.804,0.9043,0.8602,0.8715,"1, 2, 3, 4",2026-05-11 22:46:35
502679,2026-05-11 23:59:00,德国女子甲组联赛,RB莱比锡女足,利华古逊女足,20.96%,21.17%,57.88%,1.134,1.988,0.8383,0.7726,0.8855,"1, 2, 3, 4, 5",2026-05-11 22:46:39
502772,2026-05-11 23:59:00,瑞典女子超级联赛,Malmo W,赫根女足,30.25%,24.18%,45.57%,1.282,1.626,0.9378,0.7277,0.8750,"1, 2, 3, 4",2026-05-11 22:46:44
504357,2026-05-12 00:45:00,阿联酋职业联赛,艾查捷拉,艾华斯尔,38.12%,23.74%,38.15%,1.536,1.537,0.8958,0.8117,0.8316,"1, 2, 3, 4, 5",2026-05-11 22:46:49
504358,2026-05-12 00:45:00,阿联酋职业联赛,豪尔费坎,阿尔华达,20.68%,21.38%,57.94%,1.106,1.966,0.8272,0.8082,0.8749,"1, 2, 3, 4, 5",2026-05-11 22:46:53
