match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504130,2026-05-13 02:00:00,西班牙甲组联赛,贝迪斯,艾尔切,58.35%,21.45%,20.20%,1.945,1.071,0.9044,0.8428,0.9496,"1, 2, 3, 4, 5",2026-05-13 03:10:48
502573,2026-05-13 02:00:00,沙地阿拉伯职业联赛,艾纳斯,希拉尔,40.52%,22.56%,36.93%,1.724,1.647,0.8751,0.8120,0.9712,"1, 2, 3, 4, 5",2026-05-13 03:10:52
505122,2026-05-13 02:30:00,法国乙组联赛,红星,罗德兹,44.43%,25.85%,29.72%,1.454,1.148,0.9864,0.7755,0.8767,"1, 2, 3, 4",2026-05-13 03:10:57
504101,2026-05-13 02:45:00,苏格兰超级联赛,鸭巴甸,圣美伦,42.53%,25.41%,32.06%,1.469,1.255,0.9356,0.8131,0.8978,"1, 2, 3, 4",2026-05-13 03:11:02
504102,2026-05-13 02:45:00,苏格兰超级联赛,登地联,利云斯顿,55.98%,22.05%,21.97%,1.882,1.110,0.9404,0.8202,0.8394,"1, 2, 3, 4, 5",2026-05-13 03:11:06
504103,2026-05-13 02:45:00,苏格兰超级联赛,基马诺克,登地,49.29%,24.05%,26.66%,1.684,1.184,0.7393,0.9621,1.2798,"1, 2, 3, 4",2026-05-13 03:11:11
504414,2026-05-13 03:00:00,英格兰冠军联赛,修咸顿,米杜士堡,39.91%,24.91%,35.18%,1.472,1.375,0.9021,0.7348,1.0202,"1, 2, 3, 4",2026-05-13 03:11:16
504131,2026-05-13 03:30:00,西班牙甲组联赛,奥沙辛拿,马德里体育会,38.38%,25.20%,36.42%,1.412,1.365,0.9212,0.8013,0.9469,"1, 2, 3, 4",2026-05-13 03:11:20
