match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505162,2026-05-14 02:00:00,荷兰乙组联赛,阿梅尔城,威廉二世,39.34%,23.75%,36.91%,1.562,1.505,0.7868,0.8074,1.1074,"1, 2, 3, 4, 5",2026-05-14 03:01:12
504081,2026-05-14 02:00:00,英格兰女子超级联赛,阿仙奴女足,爱华顿女足,87.49%,8.52%,3.99%,3.101,0.607,0.9449,0.5451,0.3995,"2, 3, 4, 5",2026-05-14 03:01:17
504390,2026-05-14 03:00:00,英格兰超级联赛,曼城,水晶宫,77.68%,13.93%,8.39%,2.544,0.737,0.9710,0.8357,0.5872,"1, 2, 3, 4, 5",2026-05-14 03:01:21
504475,2026-05-14 03:00:00,法国甲组联赛,朗斯,巴黎圣日门,30.84%,22.28%,46.88%,1.475,1.844,0.8420,0.8310,0.9844,"1, 2, 3, 4, 5",2026-05-14 03:01:26
504418,2026-05-14 03:00:00,英格兰甲组联赛,史托港,史提芬纳治,50.78%,25.92%,23.30%,1.507,0.937,1.0055,0.8553,0.7455,"1, 2, 3, 4",2026-05-14 03:01:31
504104,2026-05-14 03:00:00,苏格兰超级联赛,赫斯,福克尔克,66.40%,19.05%,14.55%,2.125,0.904,0.8964,0.8572,0.8875,"1, 2, 3, 4, 5",2026-05-14 03:01:35
504105,2026-05-14 03:00:00,苏格兰超级联赛,马瑟韦尔,些路迪,25.86%,22.14%,52.01%,1.295,1.890,1.2024,0.9519,0.7697,"1, 2, 3, 4, 5",2026-05-14 03:01:40
504106,2026-05-14 03:00:00,苏格兰超级联赛,格拉斯哥流浪,喜百年,64.57%,19.13%,16.30%,2.169,1.014,0.9815,0.8511,0.6765,"1, 2, 3, 4, 5",2026-05-14 03:01:44
504313,2026-05-14 03:00:00,意大利杯,拉素,国际米兰,19.78%,21.94%,58.27%,1.004,1.864,0.9357,0.8009,0.9091,"1, 2, 3, 4",2026-05-14 03:01:49
504578,2026-05-14 03:15:00,阿根廷杯,柏拉坦斯,圣马田圣祖安,52.30%,27.72%,19.98%,1.378,0.735,0.9936,0.7762,0.8273,"0, 1, 2, 3",2026-05-14 03:01:54
504134,2026-05-14 03:30:00,西班牙甲组联赛,艾拉维斯,巴塞隆拿,29.96%,22.44%,47.59%,1.457,1.862,0.8599,0.7631,1.0090,"1, 2, 3, 4, 5",2026-05-14 03:01:58
504135,2026-05-14 03:30:00,西班牙甲组联赛,加泰,马略卡,47.13%,27.87%,25.00%,1.330,0.893,1.0462,0.8361,0.7650,"0, 1, 2, 3, 4",2026-05-14 03:02:03
