match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505090,2026-05-13 23:00:00,芬兰杯,拉迪,MP米凯利,79.52%,12.38%,8.10%,2.805,0.844,0.9065,0.6810,0.6882,"2, 3, 4, 5",2026-05-13 22:01:23
505151,2026-05-13 23:00:00,芬兰杯,VPS华沙,AIFK杜古,94.12%,4.08%,1.80%,3.796,0.536,0.9506,0.3793,0.2704,"3, 4, 5, 6",2026-05-13 22:01:28
505152,2026-05-13 23:00:00,芬兰杯,TPS杜古,HJS学院,88.36%,7.85%,3.80%,3.222,0.638,0.9101,0.6198,0.5315,"2, 3, 4, 5, 6",2026-05-13 22:01:32
505153,2026-05-13 23:00:00,芬兰杯,伊洛特,伊斯韦斯,4.27%,8.20%,87.53%,0.682,3.208,0.6405,0.6065,0.9016,"2, 3, 4, 5, 6",2026-05-13 22:01:37
505126,2026-05-13 23:30:00,芬兰杯,路云尼米,赫尔辛基,3.67%,7.74%,88.59%,0.626,3.223,0.5142,0.5572,0.9125,"2, 3, 4, 5, 6",2026-05-13 22:01:42
505154,2026-05-13 23:30:00,芬兰杯,马利汉姆,普尤,89.51%,7.09%,3.40%,3.336,0.628,0.9219,0.5387,0.5107,"2, 3, 4, 5, 6",2026-05-13 22:01:46
505155,2026-05-13 23:30:00,芬兰杯,万塔,查路,19.12%,20.29%,60.58%,1.107,2.085,0.9752,0.8016,0.8300,"1, 2, 3, 4, 5",2026-05-13 22:01:51
