match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
505352,2026-05-16 00:45:00,阿联酋职业联赛,艾华斯尔,伊蒂哈德卡尔巴,68.23%,17.60%,14.17%,2.298,0.970,0.8870,0.7745,0.7935,"1, 2, 3, 4, 5",2026-05-16 02:01:00
503876,2026-05-16 02:00:00,沙地阿拉伯职业联赛,艾塔亚文,艾利雅德,51.25%,24.13%,24.62%,1.671,1.088,0.8200,0.9531,0.9849,"1, 2, 3, 4",2026-05-16 02:01:04
504422,2026-05-16 02:15:00,英格兰乙组联赛,沙福特城,甘士比,42.66%,25.34%,32.01%,1.470,1.253,0.9128,0.8538,0.8899,"1, 2, 3, 4",2026-05-16 02:01:07
504435,2026-05-16 02:30:00,西班牙乙组联赛,卡斯迪隆,卡迪斯,71.55%,16.28%,12.17%,2.437,0.935,0.8729,0.8953,1.0103,"1, 2, 3, 4, 5",2026-05-16 02:01:11
505420,2026-05-16 02:30:00,法国乙组联赛,圣伊天,罗德兹,57.53%,20.37%,22.09%,2.108,1.265,1.0011,0.7538,0.7953,"1, 2, 3, 4, 5",2026-05-16 02:01:15
504161,2026-05-16 02:45:00,比利时甲组联赛,奥特希费利,安特卫普,36.27%,25.62%,38.11%,1.332,1.375,0.9613,0.8633,0.8460,"1, 2, 3, 4",2026-05-16 02:01:18
504067,2026-05-16 03:00:00,英格兰超级联赛,阿士东维拉,利物浦,27.47%,22.13%,50.39%,1.371,1.902,0.6869,0.7525,1.2094,"1, 2, 3, 4, 5",2026-05-16 02:01:22
504436,2026-05-16 03:00:00,西班牙乙组联赛,科尔多瓦,阿尔巴塞特,56.51%,21.34%,22.15%,1.960,1.170,0.8590,0.8301,1.0543,"1, 2, 3, 4, 5",2026-05-16 02:01:26
504423,2026-05-16 03:00:00,英格兰乙组联赛,诺士郡,车士打菲特,38.95%,26.97%,34.08%,1.288,1.185,0.8568,0.8711,0.9544,"1, 2, 3, 4",2026-05-16 02:01:29
